,Text,sentiment_scores,neg_score,neu_score,pos_score,compound_score,target
4,"great taffy great price . wide assortment yummy taffy . delivery quick . taffy lover , deal .","{'neg': 0.0, 'neu': 0.369, 'pos': 0.631, 'compound': 0.9468}",0.0,0.369,0.631,0.9468,1
7,taffy good . soft chewy . flavors amazing . would definitely recommend buying . satisfying ! !,"{'neg': 0.0, 'neu': 0.279, 'pos': 0.721, 'compound': 0.938}",0.0,0.279,0.721,0.938,1
13,good flavor ! came securely packed ... fresh delicious ! love twizzlers !,"{'neg': 0.0, 'neu': 0.234, 'pos': 0.766, 'compound': 0.9466}",0.0,0.234,0.766,0.9466,1
14,strawberry twizzlers guilty pleasure - yummy . six pounds around son .,"{'neg': 0.176, 'neu': 0.377, 'pos': 0.447, 'compound': 0.6486}",0.176,0.377,0.447,0.6486,1
16,love eating good watching tv looking movies ! sweet . like transfer zip lock baggie stay fresh take time eating .,"{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.9348}",0.0,0.461,0.539,0.9348,1
17,satisfied twizzler purchase . shared others enjoyed . definitely ordering .,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.8807}",0.0,0.263,0.737,0.8807,1
31,"offer great price great taste , thanks amazon selling product. < br / > < br / > staral","{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.9153}",0.0,0.385,0.615,0.9153,1
42,mccann 's oatmeal every morning ordering amazon able save almost $ 3.00 per box. < br / > great product . tastes great healthy,"{'neg': 0.0, 'neu': 0.47, 'pos': 0.53, 'compound': 0.9413}",0.0,0.47,0.53,0.9413,1
58,"great product , nice combination chocolates perfect size ! bags plenty , shipped promptly . kids neighborhood liked candies !","{'neg': 0.0, 'neu': 0.44, 'pos': 0.56, 'compound': 0.9323}",0.0,0.44,0.56,0.9323,1
59,"halloween , sent bag daughters class share . chocolate fresh enjoyed many .","{'neg': 0.0, 'neu': 0.473, 'pos': 0.527, 'compound': 0.7783}",0.0,0.473,0.527,0.7783,1
81,"great gift ages ! purchased giant canes recipients loved much , kept would eat .","{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.9041}",0.0,0.446,0.554,0.9041,1
104,nice alternative apple pie . love fact slicing dicing . easy prepare . also loved fact make fresh whenever needed .,"{'neg': 0.0, 'neu': 0.427, 'pos': 0.573, 'compound': 0.9442}",0.0,0.427,0.573,0.9442,1
105,like creme brulee . loved easy . sprinkle sugar came broil . look amazing taste great . guess thought really went way really took 5 minutes . ordering !,"{'neg': 0.0, 'neu': 0.493, 'pos': 0.507, 'compound': 0.9551}",0.0,0.493,0.507,0.9551,1
113,"one best teas ever tasted ... 's clean , bright , fresh ... < br / > < br / > great delivery ... quality ... try ...","{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.9477}",0.0,0.444,0.556,0.9477,1
115,love tea . helps curb eating day . mom given friends try .,"{'neg': 0.0, 'neu': 0.414, 'pos': 0.586, 'compound': 0.872}",0.0,0.414,0.586,0.872,1
150,"fabulous marinade ! love use chicken , either baked oven grill . enough flavor & flair , 've even used dinner parties , receive rave reviews guests ! ! definitely worth price ! super cheap super easy ! love !","{'neg': 0.0, 'neu': 0.392, 'pos': 0.608, 'compound': 0.9848}",0.0,0.392,0.608,0.9848,1
154,awesome ! ! ! yummy flavor got healthy alternative desserts normally eat glad many things jello desserts still taste good good . definitentally purchasing product flavor wonderful .,"{'neg': 0.0, 'neu': 0.404, 'pos': 0.596, 'compound': 0.9738}",0.0,0.404,0.596,0.9738,1
157,"perfect size sea salt table picnic basket . love . shakes well , clumping flows freely .","{'neg': 0.0, 'neu': 0.411, 'pos': 0.589, 'compound': 0.9169}",0.0,0.411,0.589,0.9169,1
160,"best tasting tuna pack make opinion - make great go snack , really satisfying tomato","{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.9117}",0.0,0.463,0.537,0.9117,1
178,"good frozen lemon juice , good . slightly odd flavor , perhaps preservative . sure wish could order frozen juice !","{'neg': 0.083, 'neu': 0.456, 'pos': 0.46, 'compound': 0.8436}",0.083,0.456,0.46,0.8436,1
181,"great product . taste great , works exactly described . superb natural sleep aid . amazing !","{'neg': 0.0, 'neu': 0.27, 'pos': 0.73, 'compound': 0.9633}",0.0,0.27,0.73,0.9633,1
194,"like better regular altoids , 're even costly , 'd better like .","{'neg': 0.081, 'neu': 0.291, 'pos': 0.628, 'compound': 0.8555}",0.081,0.291,0.628,0.8555,1
206,fresh scent taste . easy eat one tin hours . use favors everyone loved .,"{'neg': 0.0, 'neu': 0.419, 'pos': 0.581, 'compound': 0.8779}",0.0,0.419,0.581,0.8779,1
223,excellent tea . one best ever . especially great prepare samovar .,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.923}",0.0,0.328,0.672,0.923,1
246,"love love love deal - 's way fun pick many ! teas chocolates ciders well many coffees . outfits assemble samplers boring - choosing , much narrower range . sellers nice , also , answer questions via email slightly confusing ordering method ( 's easy ) . want great packaging , forget - ship fast , kups tossed loose box . cares ?","{'neg': 0.11, 'neu': 0.434, 'pos': 0.457, 'compound': 0.979}",0.11,0.434,0.457,0.979,1
260,"healthy mixed llasa , tibetan terrier adores . healthy breath n't smell teeth good shape products . great healthy product .","{'neg': 0.085, 'neu': 0.39, 'pos': 0.525, 'compound': 0.908}",0.085,0.39,0.525,0.908,1
261,"great healthy chew 9 wk old beagle , rio . loves taste sure beats arm .","{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.9153}",0.0,0.385,0.615,0.9153,1
265,love sugar . also get muscavado sugar great use place regular white sugar . recommend !,"{'neg': 0.0, 'neu': 0.474, 'pos': 0.526, 'compound': 0.902}",0.0,0.474,0.526,0.902,1
276,great service ! items arrived faster expected . efficient ! use seller . highly recommend seller ! thank excellent service !,"{'neg': 0.0, 'neu': 0.366, 'pos': 0.634, 'compound': 0.954}",0.0,0.366,0.634,0.954,1
278,best flavor ever ! 'm addicted ! good far best . could live ! need anymore say ....,"{'neg': 0.0, 'neu': 0.475, 'pos': 0.525, 'compound': 0.9213}",0.0,0.475,0.525,0.9213,1
290,"energy junkie 'm sure works , know taste greatest . drink steaz energy drink think get results . like products natural others .","{'neg': 0.0, 'neu': 0.453, 'pos': 0.547, 'compound': 0.9287}",0.0,0.453,0.547,0.9287,1
300,"tried energy shots one one really makes feel good energized without sides effects , also best taste , others taste like medicine , one tea fresh taste . love .","{'neg': 0.0, 'neu': 0.453, 'pos': 0.547, 'compound': 0.9673}",0.0,0.453,0.547,0.9673,1
320,"individually wrapped pieces delicious ( although wish ) . mildly sweet sugar-free aftertaste , even traditional `` marzipan-aholic '' enjoy .","{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.9118}",0.0,0.488,0.512,0.9118,1
322,"amazed quickly arrived ! cute stocking stuffer , ok far user appeal . get pay .","{'neg': 0.077, 'neu': 0.442, 'pos': 0.48, 'compound': 0.807}",0.077,0.442,0.48,0.807,1
325,love convenience singles . best creamer around.taste like big bottle . stick purse take work .,"{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.8979}",0.0,0.478,0.522,0.8979,1
327,"even though international delight fans completely dissapointed product . problem shipment , creamer thinner international delight . happy :","{'neg': 0.116, 'neu': 0.432, 'pos': 0.452, 'compound': 0.8603}",0.116,0.432,0.452,0.8603,1
333,"yes , cup right . went town looking coffee invited non profit organization banquet besides delicious food top amazing delicious coffee . paid extra 20 bucks get right way worth money . highly recommend .","{'neg': 0.0, 'neu': 0.486, 'pos': 0.514, 'compound': 0.9694}",0.0,0.486,0.514,0.9694,1
336,"honestly best seasoning salt land . tightens dish ; spicy , perfectly seasoned . 's perfect , hence , purchase 35 oz . mamma jamma .","{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.9442}",0.0,0.481,0.519,0.9442,1
341,"great idea ! ! ! ! daughter love it. < br / > n't think difficult wash , mean , like toss water 's ... , come ! ! ! ! < br / > absolutely recommend !","{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.9507}",0.0,0.471,0.529,0.9507,1
344,"love , love , love idea product little one loves , loves , loves use . gets fresh fruit tasty things n't worry choking . drawback bits food get stuck mesh seams impossible get . granted , foods difficult others n't cause much problem . bananas however , pretty much destroyed couple . love product , think next time get one removable replaceable mesh bags .","{'neg': 0.089, 'neu': 0.428, 'pos': 0.483, 'compound': 0.9872}",0.089,0.428,0.483,0.9872,1
346,"product amazing . know people little ones use love ! ! super easy clean use . ordering , impression 2 per package ... fyi-they 're ! ! one per ...","{'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.9652}",0.0,0.441,0.559,0.9652,1
364,favorite bars ever . combo raisons dark choc wonderful ! filling ! hard find stores . 'm thankful subsrcibe save !,"{'neg': 0.052, 'neu': 0.409, 'pos': 0.539, 'compound': 0.9334}",0.052,0.409,0.539,0.9334,1
371,green mountain favorite brand . nantucket favorite coffee green mountain . smooth flavor . strong weak .,"{'neg': 0.137, 'neu': 0.425, 'pos': 0.439, 'compound': 0.7506}",0.137,0.425,0.439,0.7506,1
373,"one green mountains best blends coffee opinion , love everyday blend , perfect stregnth , excellent blend !","{'neg': 0.0, 'neu': 0.383, 'pos': 0.617, 'compound': 0.9523}",0.0,0.383,0.617,0.9523,1
378,"ridiculous . best gourmet ketchup ever tasted . pricey , wow .. love stuff . would make great gift someone hard buy loves ketchup . yummy !","{'neg': 0.092, 'neu': 0.282, 'pos': 0.626, 'compound': 0.9769}",0.092,0.282,0.626,0.9769,1
395,appreciate fact buy product online free shipping . great around mix good wonderful texture . thanks amazon .,"{'neg': 0.0, 'neu': 0.273, 'pos': 0.727, 'compound': 0.9652}",0.0,0.273,0.727,0.9652,1
415,"surprised good family friends laughed told bought . ready mix little salt , pepper , spinach , cheese 's great easy meal !","{'neg': 0.0, 'neu': 0.347, 'pos': 0.653, 'compound': 0.9622}",0.0,0.347,0.653,0.9622,1
433,chips thick crunchy . absolutely love . taste perfect . like buy smaller bags cant trust large bag taste good .,"{'neg': 0.095, 'neu': 0.42, 'pos': 0.485, 'compound': 0.9033}",0.095,0.42,0.485,0.9033,1
442,salt vinegar chips definitely favorite type potato chip . ones made kettle tasty enjoyed thoroughly . wish healthy option great taste .,"{'neg': 0.0, 'neu': 0.405, 'pos': 0.595, 'compound': 0.9588}",0.0,0.405,0.595,0.9588,1
452,"best deal ever . delivery fast , chips delicious fresh . love : )","{'neg': 0.0, 'neu': 0.258, 'pos': 0.742, 'compound': 0.9371}",0.0,0.258,0.742,0.9371,1
453,husband love chips ! personally think flavor perfect . try !,"{'neg': 0.0, 'neu': 0.414, 'pos': 0.586, 'compound': 0.8585}",0.0,0.414,0.586,0.8585,1
457,"hands-down absolute best salt & vinegar chips buy . great , strong flavor left addicted . certainly favorite chips . highly recommend trying !","{'neg': 0.0, 'neu': 0.374, 'pos': 0.626, 'compound': 0.9642}",0.0,0.374,0.626,0.9642,1
471,took get used chips pretty good healthy . sure eaten family friends .,"{'neg': 0.0, 'neu': 0.297, 'pos': 0.703, 'compound': 0.9217}",0.0,0.297,0.703,0.9217,1
474,"always pleased amazon 's packaging . chips never crushed broken , always fresh . really liked brand/flavor chips . tasty !","{'neg': 0.0, 'neu': 0.397, 'pos': 0.603, 'compound': 0.9212}",0.0,0.397,0.603,0.9212,1
475,"chips best 've tasted . filled chemicals . taste tangy vinegar well potato . greasy . perfectly crispy . n't like salt vinegar tanginess , n't even bother try . definitely zip . love . children friends love . even 4 year old loves !","{'neg': 0.038, 'neu': 0.412, 'pos': 0.55, 'compound': 0.9828}",0.038,0.412,0.55,0.9828,1
477,fantastic ! beat taste resist one spice lover,"{'neg': 0.0, 'neu': 0.394, 'pos': 0.606, 'compound': 0.8268}",0.0,0.394,0.606,0.8268,1
479,"n't eat many chips , love . great buy arrived quick packed great . expiration date ways away , awhile enjoy great natural potato flavor . love brown russet , hardy flavor fit description tee .","{'neg': 0.0, 'neu': 0.388, 'pos': 0.612, 'compound': 0.9856}",0.0,0.388,0.612,0.9856,1
481,bought box chips father 's day gift dad loves . yummy substantial regular chips .,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.8957}",0.0,0.433,0.567,0.8957,1
495,"rarely eat chips saw tried . really amazing . love cheddar , chips really thin crunch delicious flavor . recommend .","{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.9436}",0.0,0.444,0.556,0.9436,1
501,great value like package size vinegary enough . wo n't order brand . great chips otherwise .,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.9201}",0.0,0.433,0.567,0.9201,1
517,"like spicy , . like spicy , enjoyed . 're also crunchy , kettle-cooked chips .","{'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.8074}",0.0,0.458,0.542,0.8074,1
521,"things darn cheesy . like lot flavor , 'll love . otherwise , overdose cheddary goodness .","{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.8658}",0.0,0.481,0.519,0.8658,1
565,"great fan potato chips thai food . happy kettle chips decided meld two great loves together ! ( concept ..... ) chips spicy enough , without burning hole tongue . also , nice hint sweetness makes habit forming ( careful ! ) . , treat definitely worth indulging .","{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.9854}",0.0,0.428,0.572,0.9854,1
575,bought sale amazon . nice crispy thick chips . definitely great buy catch sale .,"{'neg': 0.0, 'neu': 0.415, 'pos': 0.585, 'compound': 0.8834}",0.0,0.415,0.585,0.8834,1
578,real good product.i love chips customers ca n't go wrong wit best,"{'neg': 0.0, 'neu': 0.366, 'pos': 0.634, 'compound': 0.9307}",0.0,0.366,0.634,0.9307,1
616,chips good . ended eating whole bag day cause good . glad dextrose like lays .,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.8834}",0.0,0.443,0.557,0.8834,1
643,"lifetime tea drinking , honestly say best earl grey ever tasted . ordered number times , batch consistently excellent . even given gift , container superb keeping loose tea fresh . metal canister inner lid lifted attached knob , tea stays dry fresh length time takes use . favor , like earl grey , treat tea .","{'neg': 0.034, 'neu': 0.468, 'pos': 0.499, 'compound': 0.9814}",0.034,0.468,0.499,0.9814,1
644,"biscuits delicious , sweet , enough crunch . love . quick delivery . would order . satisfied .","{'neg': 0.0, 'neu': 0.338, 'pos': 0.662, 'compound': 0.9287}",0.0,0.338,0.662,0.9287,1
656,"sweetner best , brings true flavors ever add . great health benefts .","{'neg': 0.0, 'neu': 0.387, 'pos': 0.613, 'compound': 0.9022}",0.0,0.387,0.613,0.9022,1
658,"finally found natural sugar substitute added benefit low glycemic index . agave delicious ! recommended many friends , economical purchase 46oz bottles .","{'neg': 0.071, 'neu': 0.441, 'pos': 0.488, 'compound': 0.906}",0.071,0.441,0.488,0.906,1
670,thank product - use time appreciate promptness price excellent . thanks .,"{'neg': 0.0, 'neu': 0.298, 'pos': 0.702, 'compound': 0.8957}",0.0,0.298,0.702,0.8957,1
684,"best chips ever eaten . everyone family loves . sweet spicy- crispy .... really good . delivery perfect , crushed chips . fantastic overall .","{'neg': 0.077, 'neu': 0.329, 'pos': 0.594, 'compound': 0.9631}",0.077,0.329,0.594,0.9631,1
685,nice case chips quite tasty . definitely enjoy kettle sea salt black pepper . wish bigger bags : ),"{'neg': 0.0, 'neu': 0.479, 'pos': 0.521, 'compound': 0.8988}",0.0,0.479,0.521,0.8988,1
702,"love potato chip r soooo good ! = ) sweet spicy overwhelming enough work palate , salty enough balance sweetness ordering soon . love !","{'neg': 0.0, 'neu': 0.418, 'pos': 0.582, 'compound': 0.9589}",0.0,0.418,0.582,0.9589,1
703,best potato chips 've ever best price 've ever paid . service respectable shipping free .,"{'neg': 0.0, 'neu': 0.407, 'pos': 0.593, 'compound': 0.9393}",0.0,0.407,0.593,0.9393,1
